METRIC,composite
Vf,0.431634
Sf,0.156862
EG,0.206406
PR,0.274772
GAMMA,0.285622
BS_50,0.115781
BV_50,0.016982
BS_V,0.011755
GS,0.040470
MM,0.025676
LO,0.031689
DECL,46.250948
R,5.019140
r,0.841303
Sb,0.156862
Ra,0.578431
Rb,0.078431
Va,0.606629
Vb,0.361683
L_Vf,0.410000
L_Sf,0.146441
U_Vf,0.455000
U_Sf,0.190282
