Vf,P2020
0.250,0.000139
0.255,0.000257
0.260,0.000462
0.265,0.000802
0.270,0.001350
0.275,0.002202
0.280,0.003477
0.285,0.005324
0.290,0.007903
0.295,0.011381
0.300,0.015909
0.305,0.021600
0.310,0.028505
0.315,0.036593
0.320,0.045739
0.325,0.055722
0.330,0.066243
0.335,0.076948
0.340,0.087464
0.345,0.097440
0.350,0.106580
0.355,0.114672
0.360,0.121600
0.365,0.127345
0.370,0.131975
0.375,0.135621
0.380,0.138463
0.385,0.140698
0.390,0.142533
0.395,0.144166
0.400,0.145787
0.405,0.147570
0.410,0.149681
0.415,0.152279
0.420,0.155522
0.425,0.159563
0.430,0.164558
0.435,0.170659
0.440,0.178016
0.445,0.186678
0.450,0.196897
0.455,0.208845
0.460,0.222660
0.465,0.238463
0.470,0.256345
0.475,0.276362
0.480,0.298525
0.485,0.322797
0.490,0.349086
0.495,0.377240
0.500,0.407052
0.505,0.438255
0.510,0.470536
0.515,0.503545
0.520,0.536907
0.525,0.570240
0.530,0.603173
0.535,0.635364
0.540,0.666514
0.545,0.696384
0.550,0.724795
0.555,0.751633
0.560,0.776844
0.565,0.800427
0.570,0.822414
0.575,0.842862
0.580,0.861835
0.585,0.879394
0.590,0.895587
0.595,0.910448
0.600,0.923996
0.605,0.936241
0.610,0.947191
0.615,0.956861
0.620,0.965279
0.625,0.972491
0.630,0.978564
0.635,0.983583
0.640,0.987651
0.645,0.990882
0.650,0.993396
0.655,0.995309
0.660,0.996734
0.665,0.997772
0.670,0.998511
0.675,0.999026
0.680,0.999376
0.685,0.999609
0.690,0.999760
0.695,0.999856
0.700,0.999915
0.705,0.999951
0.710,0.999973
0.715,0.999985
0.720,0.999992
0.725,0.999996
0.730,0.999998
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
