METRIC,P2020
Vf,0.440734
Sf,0.179210
EG,0.202258
PR,0.261524
GAMMA,0.218114
BS_50,0.092948
BV_50,0.014463
BS_V,0.023785
GS,0.034403
MM,0.032826
LO,0.022502
DECL,39.798617
R,5.412724
r,1.732463
Sb,0.179210
Ra,0.589605
Rb,0.089605
Va,0.596595
Vb,0.380903
L_Vf,0.420000
L_Sf,0.155522
U_Vf,0.465000
U_Sf,0.238463
