Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.250,0.000225,0.000139,0.000439,0.000113,0.000797,0.000093,0.000278
0.255,0.000410,0.000257,0.000781,0.000211,0.001384,0.000175,0.000504
0.260,0.000724,0.000462,0.001342,0.000382,0.002317,0.000319,0.000883
0.265,0.001236,0.000802,0.002228,0.000668,0.003744,0.000562,0.001494
0.270,0.002041,0.001350,0.003576,0.001133,0.005841,0.000960,0.002446
0.275,0.003262,0.002202,0.005550,0.001862,0.008804,0.001589,0.003874
0.280,0.005049,0.003477,0.008332,0.002965,0.012828,0.002549,0.005940
0.285,0.007570,0.005324,0.012107,0.004577,0.018081,0.003966,0.008819
0.290,0.010999,0.007903,0.017039,0.006854,0.024673,0.005986,0.012687
0.295,0.015497,0.011381,0.023243,0.009958,0.032623,0.008768,0.017696
0.300,0.021187,0.015909,0.030755,0.014047,0.041839,0.012470,0.023947
0.305,0.028128,0.021600,0.039511,0.019247,0.052109,0.017231,0.031467
0.310,0.036291,0.028505,0.049340,0.025634,0.063109,0.023145,0.040184
0.315,0.045551,0.036593,0.059959,0.033212,0.074434,0.030245,0.049925
0.320,0.055680,0.045739,0.071005,0.041896,0.085640,0.038479,0.060416
0.325,0.066363,0.055722,0.082067,0.051505,0.096301,0.047706,0.071306
0.330,0.077230,0.066243,0.092733,0.061777,0.106048,0.057697,0.082201
0.335,0.087888,0.076948,0.102634,0.072381,0.114615,0.068151,0.092707
0.340,0.097970,0.087464,0.111482,0.082955,0.121853,0.078718,0.102473
0.345,0.107168,0.097440,0.119097,0.093140,0.127734,0.089043,0.111225
0.350,0.115262,0.106580,0.125406,0.102618,0.132329,0.098790,0.118786
0.355,0.122133,0.114672,0.130442,0.111142,0.135785,0.107687,0.125088
0.360,0.127764,0.121600,0.134316,0.118554,0.138291,0.115541,0.130159
0.365,0.132224,0.127345,0.137192,0.124792,0.140051,0.122251,0.134104
0.370,0.135646,0.131975,0.139260,0.129884,0.141258,0.127809,0.137083
0.375,0.138201,0.135621,0.140709,0.133932,0.142085,0.132287,0.139283
0.380,0.140078,0.138463,0.141715,0.137091,0.142623,0.135818,0.140899
0.385,0.141463,0.140698,0.142430,0.139545,0.142963,0.138574,0.142112
0.390,0.142528,0.142533,0.142980,0.141493,0.143370,0.140749,0.143091
0.395,0.143428,0.144166,0.143470,0.143134,0.143881,0.142541,0.143982
0.400,0.144300,0.145787,0.143987,0.144655,0.144547,0.144143,0.144914
0.405,0.145265,0.147570,0.144609,0.146235,0.145428,0.145736,0.146006
