Vf,G2020
0.250,0.000123
0.255,0.000227
0.260,0.000405
0.265,0.000698
0.270,0.001164
0.275,0.001881
0.280,0.002943
0.285,0.004462
0.290,0.006560
0.295,0.009356
0.300,0.012955
0.305,0.017428
0.310,0.022797
0.315,0.029028
0.320,0.036022
0.325,0.043624
0.330,0.051638
0.335,0.059851
0.340,0.068059
0.345,0.076096
0.350,0.083850
0.355,0.091279
0.360,0.098405
0.365,0.105308
0.370,0.112104
0.375,0.118927
0.380,0.125905
0.385,0.133146
0.390,0.140729
0.395,0.148701
0.400,0.157080
0.405,0.165866
0.410,0.175049
0.415,0.184623
0.420,0.194595
0.425,0.204986
0.430,0.215839
0.435,0.227210
0.440,0.239167
0.445,0.251780
0.450,0.265109
0.455,0.279202
0.460,0.294080
0.465,0.309736
0.470,0.326132
0.475,0.343201
0.480,0.360844
0.485,0.378942
0.490,0.397355
0.495,0.415936
0.500,0.434531
0.505,0.452991
0.510,0.471177
0.515,0.488965
0.520,0.506249
0.525,0.522948
0.530,0.539005
0.535,0.554387
0.540,0.569086
0.545,0.583116
0.550,0.596509
0.555,0.609314
0.560,0.621590
0.565,0.633402
0.570,0.646659
0.575,0.661821
0.580,0.677400
0.585,0.693451
0.590,0.710003
0.595,0.727059
0.600,0.744596
0.605,0.762563
0.610,0.780879
0.615,0.799434
0.620,0.818090
0.625,0.836679
0.630,0.855009
0.635,0.872865
0.640,0.890025
0.645,0.906263
0.650,0.921370
0.655,0.935165
0.660,0.947513
0.665,0.958328
0.670,0.967587
0.675,0.975326
0.680,0.981635
0.685,0.986646
0.690,0.990522
0.695,0.993437
0.700,0.995571
0.705,0.997088
0.710,0.998135
0.715,0.998838
0.720,0.999296
0.725,0.999585
0.730,0.999762
0.735,0.999867
0.740,0.999928
0.745,0.999962
0.750,0.999981
