CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2020,CD,AG2020
1,0.622671,1,0.657417,1,0.639860,1,0.616576,1,0.603727,1,0.616616,1,0.601375
2,0.593452,2,0.617732,2,0.597582,2,0.589548,2,0.593661,2,0.583905,2,0.578333
3,0.471811,3,0.478450,3,0.458935,3,0.488144,3,0.493786,3,0.456295,3,0.460948
4,0.402490,4,0.413074,4,0.383454,4,0.392795,4,0.446335,4,0.382381,4,0.399273
5,0.444035,5,0.448665,5,0.423460,5,0.465772,5,0.474369,5,0.422146,5,0.435206
6,0.568006,6,0.588738,6,0.565206,6,0.566586,6,0.578822,6,0.555036,6,0.555002
7,0.860756,7,0.885338,7,0.883211,7,0.857048,7,0.839487,7,0.859985,7,0.840226
8,0.507881,8,0.534517,8,0.517573,8,0.508178,8,0.513292,8,0.491055,8,0.486692
9,0.714254,9,0.729799,9,0.733831,9,0.711359,9,0.708176,9,0.709726,9,0.694675
10,0.570512,10,0.591307,10,0.571688,10,0.567614,10,0.583456,10,0.555548,10,0.556007
