METRIC,composite,P2020,P2016,S2018,S2016,G2020,AG2020
Vf,0.581686,0.599253,0.587866,0.584393,0.590124,0.567415,0.564886
Sf,0.681253,0.718935,0.675604,0.705638,0.736192,0.638961,0.639665
EG,-0.017881,-0.020429,0.000128,-0.036852,-0.055944,-0.004131,-0.009893
PR,-0.099567,-0.119682,-0.087738,-0.121245,-0.146068,-0.071546,-0.074779
GAMMA,0.059813,-0.018527,0.018826,0.042893,0.151277,0.039787,0.025531
BS_50,0.073503,0.052311,0.080239,0.091664,0.093299,0.065469,0.070452
BV_50,0.019189,0.013973,0.022136,0.022719,0.021540,0.018192,0.018438
BS_V,0.069547,0.067150,0.073138,0.064120,0.059173,0.069239,0.072749
GS,0.034714,0.034197,0.041934,0.035925,0.035321,0.032474,0.032399
MM,0.012427,0.009231,0.019419,0.017293,0.008985,0.012123,0.009381
LO,0.084327,0.101558,0.080546,0.082357,0.098476,0.071876,0.071883
DECL,4.097107,3.485354,1.363626,2.981496,8.283878,3.727694,4.942280
R,2.218894,2.205831,1.998543,2.436673,2.620743,2.061285,2.152470
r,2.951129,2.019165,2.212801,2.944920,4.299281,2.651462,2.545944
Sb,0.681253,0.718935,0.675604,0.705638,0.736192,0.638961,0.639665
Ra,0.840626,0.859468,0.837802,0.852819,0.868096,0.819481,0.819833
Rb,0.340626,0.359468,0.337802,0.352819,0.368096,0.319481,0.319833
Va,0.550037,0.549079,0.565668,0.544369,0.523315,0.562403,0.552958
Vb,0.365636,0.349363,0.353787,0.373274,0.378209,0.365721,0.375159
L_Vf,0.560000,0.575000,0.565000,0.560000,0.570000,0.545000,0.540000
L_Sf,0.628100,0.671632,0.627371,0.633184,0.675284,0.583116,0.571914
U_Vf,0.605000,0.620000,0.610000,0.605000,0.615000,0.590000,0.585000
U_Sf,0.762235,0.784021,0.736543,0.784462,0.844805,0.710003,0.709963
