METRIC,composite
Vf,0.581686
Sf,0.681253
EG,-0.017881
PR,-0.099567
GAMMA,0.059813
BS_50,0.073503
BV_50,0.019189
BS_V,0.069547
GS,0.034714
MM,0.012427
LO,0.084327
DECL,4.097107
R,2.218894
r,2.951129
Sb,0.681253
Ra,0.840626
Rb,0.340626
Va,0.550037
Vb,0.365636
L_Vf,0.560000
L_Sf,0.628100
U_Vf,0.605000
U_Sf,0.762235
