METRIC,G2020
Vf,0.567415
Sf,0.638961
EG,-0.004131
PR,-0.071546
GAMMA,0.039787
BS_50,0.065469
BV_50,0.018192
BS_V,0.069239
GS,0.032474
MM,0.012123
LO,0.071876
DECL,3.727694
R,2.061285
r,2.651462
Sb,0.638961
Ra,0.819481
Rb,0.319481
Va,0.562403
Vb,0.365721
L_Vf,0.545000
L_Sf,0.583116
U_Vf,0.590000
U_Sf,0.710003
