Vf,S2018
0.250,0.000043
0.255,0.000082
0.260,0.000150
0.265,0.000269
0.270,0.000466
0.275,0.000783
0.280,0.001277
0.285,0.002021
0.290,0.003104
0.295,0.004630
0.300,0.006708
0.305,0.009449
0.310,0.012946
0.315,0.017265
0.320,0.022429
0.325,0.028413
0.330,0.035135
0.335,0.042462
0.340,0.050227
0.345,0.058239
0.350,0.066316
0.355,0.074300
0.360,0.082077
0.365,0.089590
0.370,0.096841
0.375,0.103882
0.380,0.110806
0.385,0.117723
0.390,0.124750
0.395,0.131993
0.400,0.139535
0.405,0.147437
0.410,0.155737
0.415,0.164453
0.420,0.173600
0.425,0.183189
0.430,0.193245
0.435,0.203804
0.440,0.214917
0.445,0.226651
0.450,0.239080
0.455,0.252277
0.460,0.266308
0.465,0.281221
0.470,0.297041
0.475,0.313760
0.480,0.331337
0.485,0.349699
0.490,0.368742
0.495,0.388337
0.500,0.408336
0.505,0.428584
0.510,0.448920
0.515,0.469192
0.520,0.489262
0.525,0.509010
0.530,0.528340
0.535,0.547179
0.540,0.565482
0.545,0.583227
0.550,0.600413
0.555,0.617056
0.560,0.633184
0.565,0.648831
0.570,0.664037
0.575,0.678836
0.580,0.693259
0.585,0.707984
0.590,0.727337
0.595,0.746642
0.600,0.765737
0.605,0.784462
0.610,0.802671
0.615,0.820247
0.620,0.837109
0.625,0.853216
0.630,0.868556
0.635,0.883138
0.640,0.896973
0.645,0.910065
0.650,0.922398
0.655,0.933930
0.660,0.944600
0.665,0.954332
0.670,0.963057
0.675,0.970719
0.680,0.977296
0.685,0.982801
0.690,0.987286
0.695,0.990838
0.700,0.993570
0.705,0.995608
0.710,0.997083
0.715,0.998117
0.720,0.998819
0.725,0.999281
0.730,0.999575
0.735,0.999756
0.740,0.999864
0.745,0.999927
0.750,0.999962
