Vf,AG2020
0.250,0.000068
0.255,0.000128
0.260,0.000232
0.265,0.000408
0.270,0.000696
0.275,0.001151
0.280,0.001845
0.285,0.002867
0.290,0.004324
0.295,0.006328
0.300,0.008995
0.305,0.012426
0.310,0.016692
0.315,0.021824
0.320,0.027799
0.325,0.034534
0.330,0.041895
0.335,0.049704
0.340,0.057762
0.345,0.065873
0.350,0.073870
0.355,0.081632
0.360,0.089100
0.365,0.096275
0.370,0.103217
0.375,0.110027
0.380,0.116827
0.385,0.123746
0.390,0.130898
0.395,0.138376
0.400,0.146247
0.405,0.154549
0.410,0.163306
0.415,0.172528
0.420,0.182229
0.425,0.192429
0.430,0.203164
0.435,0.214483
0.440,0.226452
0.445,0.239141
0.450,0.252620
0.455,0.266948
0.460,0.282162
0.465,0.298271
0.470,0.315250
0.475,0.333035
0.480,0.351526
0.485,0.370589
0.490,0.390067
0.495,0.409781
0.500,0.429548
0.505,0.449185
0.510,0.468521
0.515,0.487407
0.520,0.505720
0.525,0.523368
0.530,0.540294
0.535,0.556473
0.540,0.571914
0.545,0.586651
0.550,0.600744
0.555,0.614267
0.560,0.627305
0.565,0.640035
0.570,0.656547
0.575,0.673677
0.580,0.691479
0.585,0.709963
0.590,0.729093
0.595,0.748788
0.600,0.768920
0.605,0.789320
0.610,0.809785
0.615,0.830084
0.620,0.849966
0.625,0.869174
0.630,0.887458
0.635,0.904583
0.640,0.920349
0.645,0.934599
0.650,0.947232
0.655,0.958202
0.660,0.967525
0.665,0.975274
0.670,0.981564
0.675,0.986551
0.680,0.990406
0.685,0.993312
0.690,0.995447
0.695,0.996975
0.700,0.998039
0.705,0.998760
0.710,0.999236
0.715,0.999541
0.720,0.999732
0.725,0.999847
0.730,0.999915
0.735,0.999954
0.740,0.999976
0.745,0.999988
0.750,0.999994
