METRIC,composite,P2020,P2016,S2018,S2016,G2020,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.581686,0.599253,0.587866,0.584393,0.590124,0.567415,0.564886,0.582323,0.005504,0.009452,-0.000637,-0.001094,-0.115734
Sf,0.681253,0.718935,0.675604,0.705638,0.736192,0.638961,0.639665,0.685832,0.016790,0.024481,-0.004579,-0.006677,-0.272722
EG,-0.017881,-0.020429,0.000128,-0.036852,-0.055944,-0.004131,-0.009893,-0.021187,0.008807,-0.415679,0.003306,-0.156039,0.375383
PR,-0.099567,-0.119682,-0.087738,-0.121245,-0.146068,-0.071546,-0.074779,-0.103510,0.012225,-0.118105,0.003943,-0.038093,0.322536
GAMMA,0.059813,-0.018527,0.018826,0.042893,0.151277,0.039787,0.025531,0.043298,0.023387,0.540140,0.016515,0.381426,0.706162
BS_50,0.073503,0.052311,0.080239,0.091664,0.093299,0.065469,0.070452,0.075572,0.006492,0.085905,-0.002069,-0.027378,-0.318700
BV_50,0.019189,0.013973,0.022136,0.022719,0.021540,0.018192,0.018438,0.019500,0.001352,0.069333,-0.000311,-0.015949,-0.230030
BS_V,0.069547,0.067150,0.073138,0.064120,0.059173,0.069239,0.072749,0.067595,0.002185,0.032325,0.001952,0.028878,0.893364
GS,0.034714,0.034197,0.041934,0.035925,0.035321,0.032474,0.032399,0.035375,0.001437,0.040622,-0.000661,-0.018686,-0.459986
MM,0.012427,0.009231,0.019419,0.017293,0.008985,0.012123,0.009381,0.012739,0.001857,0.145773,-0.000312,-0.024492,-0.168013
LO,0.084327,0.101558,0.080546,0.082357,0.098476,0.071876,0.071883,0.084449,0.005244,0.062097,-0.000122,-0.001445,-0.023265
DECL,4.097107,3.485354,1.363626,2.981496,8.283878,3.727694,4.942280,4.130721,0.956797,0.231630,-0.033614,-0.008138,-0.035132
R,2.218894,2.205831,1.998543,2.436673,2.620743,2.061285,2.152470,2.245924,0.097040,0.043207,-0.027030,-0.012035,-0.278545
r,2.951129,2.019165,2.212801,2.944920,4.299281,2.651462,2.545944,2.778929,0.332029,0.119481,0.172200,0.061966,0.518629
Sb,0.681253,0.718935,0.675604,0.705638,0.736192,0.638961,0.639665,0.685832,0.016790,0.024481,-0.004579,-0.006677,-0.272722
Ra,0.840626,0.859468,0.837802,0.852819,0.868096,0.819481,0.819833,0.842917,0.008395,0.009959,-0.002291,-0.002718,-0.272901
Rb,0.340626,0.359468,0.337802,0.352819,0.368096,0.319481,0.319833,0.342917,0.008395,0.024481,-0.002291,-0.006681,-0.272901
Va,0.550037,0.549079,0.565668,0.544369,0.523315,0.562403,0.552958,0.549632,0.006197,0.011275,0.000405,0.000737,0.065354
Vb,0.365636,0.349363,0.353787,0.373274,0.378209,0.365721,0.375159,0.365919,0.004871,0.013312,-0.000283,-0.000773,-0.058099
L_Vf,0.560000,0.575000,0.565000,0.560000,0.570000,0.545000,0.540000,0.559167,0.005689,0.010174,0.000833,0.001490,0.146423
L_Sf,0.628100,0.671632,0.627371,0.633184,0.675284,0.583116,0.571914,0.627084,0.017628,0.028111,0.001016,0.001620,0.057636
U_Vf,0.605000,0.620000,0.610000,0.605000,0.615000,0.590000,0.585000,0.604167,0.005689,0.009416,0.000833,0.001379,0.146423
U_Sf,0.762235,0.784021,0.736543,0.784462,0.844805,0.710003,0.709963,0.761633,0.021529,0.028267,0.000602,0.000790,0.027962
