Vf,composite
0.250,0.000057
0.255,0.000108
0.260,0.000198
0.265,0.000351
0.270,0.000602
0.275,0.001002
0.280,0.001616
0.285,0.002528
0.290,0.003838
0.295,0.005657
0.300,0.008099
0.305,0.011270
0.310,0.015251
0.315,0.020088
0.320,0.025778
0.325,0.032260
0.330,0.039421
0.335,0.047099
0.340,0.055107
0.345,0.063251
0.350,0.071357
0.355,0.079290
0.360,0.086972
0.365,0.094384
0.370,0.101564
0.375,0.108598
0.380,0.115599
0.385,0.122689
0.390,0.129985
0.395,0.137585
0.400,0.145560
0.405,0.153958
0.410,0.162805
0.415,0.172115
0.420,0.181900
0.425,0.192174
0.430,0.202966
0.435,0.214317
0.440,0.226280
0.445,0.238918
0.450,0.252292
0.455,0.266457
0.460,0.281451
0.465,0.297288
0.470,0.313951
0.475,0.331393
0.480,0.349532
0.485,0.368256
0.490,0.387430
0.495,0.406899
0.500,0.426497
0.505,0.446060
0.510,0.465426
0.515,0.484451
0.520,0.503009
0.525,0.520997
0.530,0.538342
0.535,0.554998
0.540,0.570947
0.545,0.586194
0.550,0.600769
0.555,0.614718
0.560,0.628100
0.565,0.640983
0.570,0.653436
0.575,0.665530
0.580,0.677330
0.585,0.692085
0.590,0.708866
0.595,0.726174
0.600,0.743984
0.605,0.762235
0.610,0.780833
0.615,0.799653
0.620,0.818541
0.625,0.837315
0.630,0.855775
0.635,0.873703
0.640,0.890879
0.645,0.907085
0.650,0.922123
0.655,0.935825
0.660,0.948066
0.665,0.958773
0.670,0.967932
0.675,0.975583
0.680,0.981819
0.685,0.986773
0.690,0.990606
0.695,0.993491
0.700,0.995603
0.705,0.997107
0.710,0.998146
0.715,0.998844
0.720,0.999298
0.725,0.999586
0.730,0.999763
0.735,0.999868
0.740,0.999928
0.745,0.999962
0.750,0.999981
