CD,composite,P2020,P2016,S2018,S2016,G2020,AG2020
1,0.622671,0.657417,0.639860,0.616576,0.603727,0.616616,0.601375
2,0.593452,0.617732,0.597582,0.589548,0.593661,0.583905,0.578333
3,0.471811,0.478450,0.458935,0.488144,0.493786,0.456295,0.460948
4,0.402490,0.413074,0.383454,0.392795,0.446335,0.382381,0.399273
5,0.444035,0.448665,0.423460,0.465772,0.474369,0.422146,0.435206
6,0.568006,0.588738,0.565206,0.566586,0.578822,0.555036,0.555002
7,0.860756,0.885338,0.883211,0.857048,0.839487,0.859985,0.840226
8,0.507881,0.534517,0.517573,0.508178,0.513292,0.491055,0.486692
9,0.714254,0.729799,0.733831,0.711359,0.708176,0.709726,0.694675
10,0.570512,0.591307,0.571688,0.567614,0.583456,0.555548,0.556007
