Vf,P2020
0.250,0.000055
0.255,0.000103
0.260,0.000189
0.265,0.000335
0.270,0.000575
0.275,0.000959
0.280,0.001549
0.285,0.002429
0.290,0.003695
0.295,0.005456
0.300,0.007827
0.305,0.010913
0.310,0.014797
0.315,0.019527
0.320,0.025103
0.325,0.031470
0.330,0.038515
0.335,0.046082
0.340,0.053982
0.345,0.062021
0.350,0.070023
0.355,0.077851
0.360,0.085425
0.365,0.092731
0.370,0.099817
0.375,0.106783
0.380,0.113766
0.385,0.120917
0.390,0.128386
0.395,0.136307
0.400,0.144786
0.405,0.153896
0.410,0.163684
0.415,0.174169
0.420,0.185355
0.425,0.197233
0.430,0.209793
0.435,0.223028
0.440,0.236931
0.445,0.251501
0.450,0.266737
0.455,0.282632
0.460,0.299172
0.465,0.316330
0.470,0.334062
0.475,0.352304
0.480,0.370973
0.485,0.389968
0.490,0.409172
0.495,0.428457
0.500,0.447689
0.505,0.466734
0.510,0.485464
0.515,0.503759
0.520,0.521515
0.525,0.538647
0.530,0.555090
0.535,0.570803
0.540,0.585765
0.545,0.599978
0.550,0.613462
0.555,0.626253
0.560,0.638403
0.565,0.649971
0.570,0.661025
0.575,0.671632
0.580,0.681864
0.585,0.691789
0.590,0.701470
0.595,0.710966
0.600,0.721062
0.605,0.735698
0.610,0.751071
0.615,0.767191
0.620,0.784021
0.625,0.801469
0.630,0.819387
0.635,0.837573
0.640,0.855781
0.645,0.873730
0.650,0.891119
0.655,0.907652
0.660,0.923052
0.665,0.937088
0.670,0.949589
0.675,0.960455
0.680,0.969662
0.685,0.977261
0.690,0.983365
0.695,0.988131
0.700,0.991747
0.705,0.994412
0.710,0.996318
0.715,0.997640
0.720,0.998530
0.725,0.999110
0.730,0.999477
0.735,0.999701
0.740,0.999835
0.745,0.999911
0.750,0.999954
