METRIC,P2016
Vf,0.587866
Sf,0.675604
EG,0.000128
PR,-0.087738
GAMMA,0.018826
BS_50,0.080239
BV_50,0.022136
BS_V,0.073138
GS,0.041934
MM,0.019419
LO,0.080546
DECL,1.363626
R,1.998543
r,2.212801
Sb,0.675604
Ra,0.837802
Rb,0.337802
Va,0.565668
Vb,0.353787
L_Vf,0.565000
L_Sf,0.627371
U_Vf,0.610000
U_Sf,0.736543
