METRIC,S2018
Vf,0.584393
Sf,0.705638
EG,-0.036852
PR,-0.121245
GAMMA,0.042893
BS_50,0.091664
BV_50,0.022719
BS_V,0.064120
GS,0.035925
MM,0.017293
LO,0.082357
DECL,2.981496
R,2.436673
r,2.944920
Sb,0.705638
Ra,0.852819
Rb,0.352819
Va,0.544369
Vb,0.373274
L_Vf,0.560000
L_Sf,0.633184
U_Vf,0.605000
U_Sf,0.784462
