Vf,G2019
0.250,0.000022
0.255,0.000044
0.260,0.000084
0.265,0.000158
0.270,0.000286
0.275,0.000505
0.280,0.000867
0.285,0.001447
0.290,0.002348
0.295,0.003705
0.300,0.005689
0.305,0.008503
0.310,0.012372
0.315,0.017532
0.320,0.024207
0.325,0.032582
0.330,0.042774
0.335,0.054804
0.340,0.068577
0.345,0.083870
0.350,0.100341
0.355,0.117546
0.360,0.134978
0.365,0.152108
0.370,0.168437
0.375,0.183535
0.380,0.197076
0.385,0.208859
0.390,0.218808
0.395,0.226964
0.400,0.233459
0.405,0.238494
0.410,0.242305
0.415,0.245141
0.420,0.247242
0.425,0.248826
0.430,0.250085
0.435,0.251183
0.440,0.252260
0.445,0.253434
0.450,0.254810
0.455,0.256487
0.460,0.258558
0.465,0.261114
0.470,0.264250
0.475,0.268170
0.480,0.273676
0.485,0.280446
0.490,0.288651
0.495,0.298462
0.500,0.310036
0.505,0.323515
0.510,0.339018
0.515,0.356634
0.520,0.376419
0.525,0.398389
0.530,0.422518
0.535,0.448733
0.540,0.476910
0.545,0.506877
0.550,0.538405
0.555,0.571214
0.560,0.604974
0.565,0.639308
0.570,0.673801
0.575,0.708011
0.580,0.741488
0.585,0.773785
0.590,0.804485
0.595,0.833214
0.600,0.859667
0.605,0.883615
0.610,0.904918
0.615,0.923528
0.620,0.939485
0.625,0.952907
0.630,0.963980
0.635,0.972933
0.640,0.980026
0.645,0.985532
0.650,0.989716
0.655,0.992829
0.660,0.995097
0.665,0.996713
0.670,0.997841
0.675,0.998610
0.680,0.999123
0.685,0.999458
0.690,0.999672
0.695,0.999806
0.700,0.999887
0.705,0.999936
0.710,0.999965
0.715,0.999981
0.720,0.999990
0.725,0.999995
0.730,0.999997
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
