Vf,P2016
0.250,0.000534
0.255,0.000964
0.260,0.001682
0.265,0.002835
0.270,0.004624
0.275,0.007295
0.280,0.011138
0.285,0.016467
0.290,0.023587
0.295,0.032755
0.300,0.044128
0.305,0.057725
0.310,0.073389
0.315,0.090776
0.320,0.109374
0.325,0.128544
0.330,0.147582
0.335,0.165803
0.340,0.182606
0.345,0.197539
0.350,0.210325
0.355,0.220875
0.360,0.229264
0.365,0.235691
0.370,0.240436
0.375,0.243812
0.380,0.246128
0.385,0.247659
0.390,0.248635
0.395,0.249238
0.400,0.249600
0.405,0.249815
0.410,0.249938
0.415,0.250008
0.420,0.250096
0.425,0.250213
0.430,0.250380
0.435,0.250621
0.440,0.250970
0.445,0.251474
0.450,0.252191
0.455,0.253197
0.460,0.254588
0.465,0.256481
0.470,0.259016
0.475,0.262358
0.480,0.266693
0.485,0.272228
0.490,0.279187
0.495,0.287802
0.500,0.298306
0.505,0.310922
0.510,0.325853
0.515,0.343265
0.520,0.363282
0.525,0.385966
0.530,0.411310
0.535,0.439232
0.540,0.469564
0.545,0.502056
0.550,0.536375
0.555,0.572113
0.560,0.608796
0.565,0.645904
0.570,0.682888
0.575,0.719192
0.580,0.754278
0.585,0.787651
0.590,0.818880
0.595,0.847616
0.600,0.873608
0.605,0.896707
0.610,0.916870
0.615,0.934149
0.620,0.948680
0.625,0.960671
0.630,0.970373
0.635,0.978072
0.640,0.984059
0.645,0.988621
0.650,0.992028
0.655,0.994519
0.660,0.996304
0.665,0.997555
0.670,0.998415
0.675,0.998992
0.680,0.999372
0.685,0.999617
0.690,0.999771
0.695,0.999866
0.700,0.999923
0.705,0.999957
0.710,0.999976
0.715,0.999987
0.720,0.999993
0.725,0.999996
0.730,0.999998
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
