Vf,composite
0.250,0.000173
0.255,0.000324
0.260,0.000588
0.265,0.001035
0.270,0.001764
0.275,0.002914
0.280,0.004665
0.285,0.007241
0.290,0.010903
0.295,0.015933
0.300,0.022606
0.305,0.031159
0.310,0.041750
0.315,0.054420
0.320,0.069062
0.325,0.085410
0.330,0.103043
0.335,0.121418
0.340,0.139915
0.345,0.157904
0.350,0.174806
0.355,0.190148
0.360,0.203601
0.365,0.214999
0.370,0.224327
0.375,0.231704
0.380,0.237340
0.385,0.241502
0.390,0.244474
0.395,0.246527
0.400,0.247904
0.405,0.248804
0.410,0.249387
0.415,0.249771
0.420,0.250045
0.425,0.250270
0.430,0.250496
0.435,0.250787
0.440,0.251214
0.445,0.251822
0.450,0.252675
0.455,0.253859
0.460,0.255474
0.465,0.257648
0.470,0.260526
0.475,0.264280
0.480,0.269100
0.485,0.275197
0.490,0.282793
0.495,0.292119
0.500,0.303404
0.505,0.316862
0.510,0.332687
0.515,0.351034
0.520,0.372013
0.525,0.395668
0.530,0.421976
0.535,0.450833
0.540,0.482048
0.545,0.515343
0.550,0.550358
0.555,0.586653
0.560,0.623727
0.565,0.661033
0.570,0.698002
0.575,0.734066
0.580,0.768686
0.585,0.801378
0.590,0.831733
0.595,0.859437
0.600,0.884278
0.605,0.906157
0.610,0.925075
0.615,0.941132
0.620,0.954503
0.625,0.965426
0.630,0.974177
0.635,0.981050
0.640,0.986341
0.645,0.990333
0.650,0.993284
0.655,0.995421
0.660,0.996937
0.665,0.997990
0.670,0.998707
0.675,0.999184
0.680,0.999495
0.685,0.999694
0.690,0.999818
0.695,0.999894
0.700,0.999940
0.705,0.999966
0.710,0.999982
0.715,0.999990
0.720,0.999995
0.725,0.999997
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
