METRIC,composite
Vf,0.431865
Sf,0.250587
EG,0.113143
PR,0.181278
GAMMA,0.245442
BS_50,0.196596
BV_50,0.042696
BS_V,0.032592
GS,0.068636
MM,0.061238
LO,-0.003792
DECL,0.000000
R,3.660566
r,0.058279
Sb,0.250587
Ra,0.625294
Rb,0.125294
Va,0.645864
Vb,0.357928
L_Vf,0.410000
L_Sf,0.249387
U_Vf,0.455000
U_Sf,0.253859
