CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2018,CD,G2019,CD,AG2019
1,0.354098,1,0.339191,1,0.327606,1,0.380303,1,0.322423,1,0.397985,1,0.336491
2,0.642722,2,0.631947,2,0.631177,2,0.655558,2,0.607382,2,0.663935,2,0.626268
3,0.387156,3,0.376829,3,0.359213,3,0.400729,3,0.352912,3,0.439163,3,0.373637
4,0.321180,4,0.307190,4,0.288109,4,0.349334,4,0.306088,4,0.358712,4,0.316056
