METRIC,AG2019
Vf,0.421713
Sf,0.250004
EG,0.093422
PR,0.171709
GAMMA,0.247188
BS_50,0.201682
BV_50,0.043816
BS_V,-0.003531
GS,0.069749
MM,0.066649
LO,-0.031810
DECL,0.000000
R,3.193322
r,0.035868
Sb,0.250004
Ra,0.625002
Rb,0.125002
Va,0.657871
Vb,0.373939
L_Vf,0.400000
L_Sf,0.247692
U_Vf,0.445000
U_Sf,0.251470
