METRIC,S2020
Vf,0.449224
Sf,0.251988
EG,0.146460
PR,0.197236
GAMMA,0.241739
BS_50,0.198471
BV_50,0.041265
BS_V,0.089232
GS,0.065708
MM,0.058708
LO,0.030243
DECL,0.000000
R,4.884430
r,0.123540
Sb,0.251988
Ra,0.625994
Rb,0.125994
Va,0.623260
Vb,0.346498
L_Vf,0.425000
L_Sf,0.250042
U_Vf,0.470000
U_Sf,0.259114
