METRIC,G2019
Vf,0.474233
Sf,0.267426
EG,0.181040
PR,0.206807
GAMMA,0.212372
BS_50,0.189964
BV_50,0.043853
BS_V,0.165170
GS,0.056312
MM,0.055659
LO,0.046800
DECL,0.000000
R,9.026031
r,0.784032
Sb,0.267426
Ra,0.633713
Rb,0.133713
Va,0.602262
Vb,0.350939
L_Vf,0.450000
L_Sf,0.254810
U_Vf,0.495000
U_Sf,0.298462
