Vf,composite,P2020,P2016,S2020,S2018,G2019,AG2019
0.250,0.000173,0.000328,0.000534,0.000091,0.000260,0.000022,0.000161
0.255,0.000324,0.000602,0.000964,0.000174,0.000481,0.000044,0.000303
0.260,0.000588,0.001069,0.001682,0.000322,0.000862,0.000084,0.000551
0.265,0.001035,0.001838,0.002835,0.000578,0.001494,0.000158,0.000972
0.270,0.001764,0.003058,0.004624,0.001007,0.002508,0.000286,0.001661
0.275,0.002914,0.004926,0.007295,0.001702,0.004078,0.000505,0.002751
0.280,0.004665,0.007684,0.011138,0.002790,0.006423,0.000867,0.004416
0.285,0.007241,0.011613,0.016467,0.004440,0.009804,0.001447,0.006874
0.290,0.010903,0.017013,0.023587,0.006857,0.014511,0.002348,0.010380
0.295,0.015933,0.024172,0.032755,0.010286,0.020833,0.003705,0.015212
0.300,0.022606,0.033330,0.044128,0.014989,0.029032,0.005689,0.021647
0.305,0.031159,0.044631,0.057725,0.021229,0.039293,0.008503,0.029928
0.310,0.041750,0.058083,0.073389,0.029240,0.051690,0.012372,0.040223
0.315,0.054420,0.073531,0.090776,0.039187,0.066144,0.017532,0.052590
0.320,0.069062,0.090647,0.109374,0.051136,0.082413,0.024207,0.066945
0.325,0.085410,0.108939,0.128544,0.065021,0.100087,0.032582,0.083044
0.330,0.103043,0.127801,0.147582,0.080629,0.118619,0.042774,0.100490
0.335,0.121418,0.146562,0.165803,0.097602,0.137375,0.054804,0.118756
0.340,0.139915,0.164566,0.182606,0.115455,0.155698,0.068577,0.137235
0.345,0.157904,0.181232,0.197539,0.133623,0.172975,0.083870,0.155299
0.350,0.174806,0.196117,0.210325,0.151507,0.188700,0.100341,0.172359
0.355,0.190148,0.208941,0.220875,0.168537,0.202514,0.117546,0.187928
0.360,0.203601,0.219601,0.229264,0.184225,0.214227,0.134978,0.201656
0.365,0.214999,0.228148,0.235691,0.198205,0.223813,0.152108,0.213352
0.370,0.224327,0.234761,0.240436,0.210257,0.231387,0.168437,0.222981
0.375,0.231704,0.239697,0.243812,0.220307,0.237162,0.183535,0.230640
0.380,0.237340,0.243254,0.246128,0.228416,0.241413,0.197076,0.236528
0.385,0.241502,0.245728,0.247659,0.234746,0.244434,0.208859,0.240901
0.390,0.244474,0.247391,0.248635,0.239529,0.246508,0.218808,0.244042
0.395,0.246527,0.248477,0.249238,0.243027,0.247883,0.226964,0.246224
0.400,0.247904,0.249168,0.249600,0.245508,0.248767,0.233459,0.247692
