METRIC,P2016
Vf,0.409102
Sf,0.249926
EG,0.068278
PR,0.159176
GAMMA,0.247834
BS_50,0.201694
BV_50,0.044684
BS_V,-0.036978
GS,0.075449
MM,0.065692
LO,0.000000
DECL,0.000000
R,2.751149
r,0.024639
Sb,0.249926
Ra,0.624963
Rb,0.124963
Va,0.674973
Vb,0.368884
L_Vf,0.385000
L_Sf,0.247659
U_Vf,0.430000
U_Sf,0.250380
