METRIC,S2018
Vf,0.402936
Sf,0.249123
EG,0.056749
PR,0.153813
GAMMA,0.242109
BS_50,0.196322
BV_50,0.040039
BS_V,-0.072636
GS,0.071132
MM,0.065269
LO,0.000000
DECL,0.000000
R,2.584656
r,0.090335
Sb,0.249123
Ra,0.624561
Rb,0.124561
Va,0.672521
Vb,0.392650
L_Vf,0.380000
L_Sf,0.241413
U_Vf,0.425000
U_Sf,0.249991
