Vf,AG2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000001
0.290,0.000001
0.295,0.000002
0.300,0.000005
0.305,0.000008
0.310,0.000015
0.315,0.000027
0.320,0.000047
0.325,0.000082
0.330,0.000138
0.335,0.000228
0.340,0.000373
0.345,0.000597
0.350,0.000941
0.355,0.001457
0.360,0.002220
0.365,0.003324
0.370,0.004896
0.375,0.007090
0.380,0.010101
0.385,0.014156
0.390,0.019518
0.395,0.026482
0.400,0.035362
0.405,0.046481
0.410,0.060154
0.415,0.076663
0.420,0.096239
0.425,0.119034
0.430,0.145102
0.435,0.174376
0.440,0.206662
0.445,0.241635
0.450,0.278840
0.455,0.317715
0.460,0.357612
0.465,0.397835
0.470,0.437672
0.475,0.476434
0.480,0.513497
0.485,0.548329
0.490,0.580515
0.495,0.609770
0.500,0.635947
0.505,0.657669
0.510,0.675880
0.515,0.692421
0.520,0.707557
0.525,0.721590
0.530,0.734848
0.535,0.747660
0.540,0.760337
0.545,0.773151
0.550,0.786318
0.555,0.799982
0.560,0.814203
0.565,0.828961
0.570,0.844151
0.575,0.859599
0.580,0.875078
0.585,0.890327
0.590,0.905072
0.595,0.919056
0.600,0.932051
0.605,0.943879
0.610,0.954420
0.615,0.963615
0.620,0.971464
0.625,0.978021
0.630,0.983380
0.635,0.987665
0.640,0.991018
0.645,0.993584
0.650,0.995505
0.655,0.996913
0.660,0.997921
0.665,0.998628
0.670,0.999112
0.675,0.999437
0.680,0.999650
0.685,0.999787
0.690,0.999873
0.695,0.999926
0.700,0.999958
0.705,0.999976
0.710,0.999987
0.715,0.999993
0.720,0.999996
0.725,0.999998
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
