METRIC,S2018
Vf,0.526238
Sf,0.726159
EG,-0.173683
PR,-0.199921
GAMMA,-0.153846
BS_50,-0.120017
BV_50,-0.018387
BS_V,-0.082965
GS,-0.020732
MM,-0.036881
LO,0.019288
DECL,0.000000
R,8.619507
r,2.756023
Sb,0.726159
Ra,0.863079
Rb,0.363079
Va,0.542975
Vb,0.437737
L_Vf,0.505000
L_Sf,0.646010
U_Vf,0.550000
U_Sf,0.789701
