Vf,S2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000001
0.295,0.000002
0.300,0.000003
0.305,0.000006
0.310,0.000011
0.315,0.000020
0.320,0.000035
0.325,0.000061
0.330,0.000103
0.335,0.000173
0.340,0.000283
0.345,0.000457
0.350,0.000724
0.355,0.001130
0.360,0.001733
0.365,0.002614
0.370,0.003878
0.375,0.005660
0.380,0.008127
0.385,0.011482
0.390,0.015962
0.395,0.021839
0.400,0.029410
0.405,0.038991
0.410,0.050900
0.415,0.065438
0.420,0.082872
0.425,0.103407
0.430,0.127165
0.435,0.154165
0.440,0.184307
0.445,0.217361
0.450,0.252969
0.455,0.290654
0.460,0.329837
0.465,0.369868
0.470,0.410055
0.475,0.449707
0.480,0.488167
0.485,0.524851
0.490,0.559274
0.495,0.591072
0.500,0.620017
0.505,0.646010
0.510,0.669083
0.515,0.689378
0.520,0.707127
0.525,0.722628
0.530,0.736409
0.535,0.749678
0.540,0.762821
0.545,0.776095
0.550,0.789701
0.555,0.803765
0.560,0.818328
0.565,0.833351
0.570,0.848717
0.575,0.864240
0.580,0.879691
0.585,0.894809
0.590,0.909332
0.595,0.923015
0.600,0.935650
0.605,0.947079
0.610,0.957203
0.615,0.965982
0.620,0.973433
0.625,0.979623
0.630,0.984655
0.635,0.988658
0.640,0.991773
0.645,0.994147
0.650,0.995915
0.655,0.997204
0.660,0.998124
0.665,0.998766
0.670,0.999204
0.675,0.999497
0.680,0.999689
0.685,0.999811
0.690,0.999888
0.695,0.999935
0.700,0.999963
0.705,0.999979
0.710,0.999989
0.715,0.999994
0.720,0.999997
0.725,0.999998
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
