METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018
Vf,0.514457,0.512231,0.512943,0.526238,0.513237,0.521562,0.502497
Sf,0.680990,0.648919,0.669479,0.726159,0.677262,0.713606,0.647858
EG,-0.152076,-0.124457,-0.143593,-0.173683,-0.150788,-0.170482,-0.142864
PR,-0.166533,-0.136688,-0.156536,-0.199921,-0.164025,-0.192044,-0.145361
GAMMA,-0.120171,-0.082229,-0.115096,-0.153846,-0.127213,-0.152041,-0.137010
BS_50,-0.111241,-0.073215,-0.105195,-0.120017,-0.117846,-0.125435,-0.135947
BV_50,-0.016946,-0.010162,-0.016128,-0.018387,-0.018997,-0.019462,-0.021821
BS_V,-0.099440,-0.066220,-0.095704,-0.082965,-0.107983,-0.098735,-0.134835
GS,-0.018690,-0.011410,-0.017760,-0.020732,-0.020322,-0.021751,-0.023276
MM,-0.033820,-0.025817,-0.031751,-0.036881,-0.032703,-0.038247,-0.038263
LO,0.008067,0.013318,0.006445,0.019288,0.005324,0.012516,-0.008340
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,12.519201,12.175510,13.094241,8.619507,13.391367,9.906605,59.214103
r,4.206905,5.452547,4.201679,2.756023,3.780984,2.855272,4.344332
Sb,0.680990,0.648919,0.669479,0.726159,0.677262,0.713606,0.647858
Ra,0.840495,0.824459,0.834739,0.863079,0.838631,0.856803,0.823929
Rb,0.340495,0.324459,0.334739,0.363079,0.338631,0.356803,0.323929
Va,0.541169,0.523784,0.540833,0.542975,0.546685,0.546712,0.551537
Vb,0.450764,0.462898,0.452722,0.437737,0.447991,0.440772,0.456803
L_Vf,0.490000,0.490000,0.490000,0.505000,0.490000,0.500000,0.480000
L_Sf,0.549215,0.501252,0.543023,0.646010,0.560378,0.625435,0.513497
U_Vf,0.535000,0.535000,0.535000,0.550000,0.535000,0.545000,0.525000
U_Sf,0.748880,0.757632,0.745739,0.789701,0.743879,0.774637,0.721590
