METRIC,G2018
Vf,0.521562
Sf,0.713606
EG,-0.170482
PR,-0.192044
GAMMA,-0.152041
BS_50,-0.125435
BV_50,-0.019462
BS_V,-0.098735
GS,-0.021751
MM,-0.038247
LO,0.012516
DECL,0.000000
R,9.906605
r,2.855272
Sb,0.713606
Ra,0.856803
Rb,0.356803
Va,0.546712
Vb,0.440772
L_Vf,0.500000
L_Sf,0.625435
U_Vf,0.545000
U_Sf,0.774637
