Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018
0.250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.285,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001
0.290,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001
0.295,0.000002,0.000001,0.000002,0.000002,0.000003,0.000002,0.000002
0.300,0.000003,0.000002,0.000003,0.000003,0.000005,0.000004,0.000005
0.305,0.000006,0.000003,0.000006,0.000006,0.000009,0.000007,0.000008
0.310,0.000011,0.000006,0.000011,0.000011,0.000016,0.000012,0.000015
0.315,0.000019,0.000010,0.000019,0.000020,0.000028,0.000022,0.000027
0.320,0.000033,0.000018,0.000034,0.000035,0.000049,0.000038,0.000047
0.325,0.000058,0.000032,0.000059,0.000061,0.000084,0.000065,0.000082
0.330,0.000098,0.000055,0.000099,0.000103,0.000142,0.000110,0.000138
0.335,0.000163,0.000093,0.000166,0.000173,0.000234,0.000184,0.000228
0.340,0.000268,0.000154,0.000271,0.000283,0.000380,0.000302,0.000373
0.345,0.000432,0.000252,0.000437,0.000457,0.000607,0.000486,0.000597
0.350,0.000685,0.000404,0.000693,0.000724,0.000952,0.000771,0.000941
0.355,0.001069,0.000639,0.001080,0.001130,0.001469,0.001200,0.001457
0.360,0.001641,0.000993,0.001655,0.001733,0.002228,0.001839,0.002220
0.365,0.002476,0.001518,0.002494,0.002614,0.003323,0.002770,0.003324
0.370,0.003676,0.002284,0.003697,0.003878,0.004873,0.004105,0.004896
0.375,0.005369,0.003384,0.005392,0.005660,0.007029,0.005983,0.007090
0.380,0.007715,0.004933,0.007736,0.008127,0.009974,0.008578,0.010101
0.385,0.010908,0.007078,0.010921,0.011482,0.013923,0.012101,0.014156
0.390,0.015177,0.009998,0.015173,0.015962,0.019124,0.016796,0.019518
0.395,0.020784,0.013905,0.020749,0.021839,0.025851,0.022941,0.026482
0.400,0.028018,0.019043,0.027931,0.029410,0.034398,0.030843,0.035362
0.405,0.037185,0.025683,0.037021,0.038991,0.045063,0.040819,0.046481
0.410,0.048598,0.034119,0.048323,0.050900,0.058137,0.053191,0.060154
0.415,0.062557,0.044651,0.062127,0.065438,0.073881,0.068259,0.076663
0.420,0.079327,0.057576,0.078695,0.082872,0.092508,0.086282,0.096239
0.425,0.099122,0.073169,0.098231,0.103407,0.114160,0.107455,0.119034
0.430,0.122077,0.091658,0.120867,0.127165,0.138891,0.131885,0.145102
0.435,0.148230,0.113210,0.146639,0.154165,0.166650,0.159570,0.174376
0.440,0.177503,0.137905,0.175475,0.184307,0.197273,0.190385,0.206662
0.445,0.209698,0.165724,0.207181,0.217361,0.230477,0.224071,0.241635
0.450,0.244491,0.196535,0.241447,0.252969,0.265870,0.260243,0.278840
0.455,0.281437,0.230088,0.277845,0.290654,0.302962,0.298395,0.317715
0.460,0.319994,0.266019,0.315853,0.329837,0.341185,0.337924,0.357612
0.465,0.359540,0.303861,0.354872,0.369868,0.379925,0.378157,0.397835
0.470,0.399409,0.343064,0.394262,0.410055,0.418548,0.418389,0.437672
0.475,0.438925,0.383025,0.433369,0.449707,0.456438,0.457922,0.476434
0.480,0.477442,0.423115,0.471565,0.488167,0.493022,0.496100,0.513497
0.485,0.514370,0.462716,0.508279,0.524851,0.527803,0.532346,0.548329
