METRIC,AG2018
Vf,0.502497
Sf,0.647858
EG,-0.142864
PR,-0.145361
GAMMA,-0.137010
BS_50,-0.135947
BV_50,-0.021821
BS_V,-0.134835
GS,-0.023276
MM,-0.038263
LO,-0.008340
DECL,0.000000
R,59.214103
r,4.344332
Sb,0.647858
Ra,0.823929
Rb,0.323929
Va,0.551537
Vb,0.456803
L_Vf,0.480000
L_Sf,0.513497
U_Vf,0.525000
U_Sf,0.721590
