METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.514457,0.512231,0.512943,0.526238,0.513237,0.521562,0.502497,0.514785,0.003369,0.006544,-0.000328,-0.000637,-0.097358
Sf,0.680990,0.648919,0.669479,0.726159,0.677262,0.713606,0.647858,0.680547,0.013386,0.019669,0.000443,0.000651,0.033094
EG,-0.152076,-0.124457,-0.143593,-0.173683,-0.150788,-0.170482,-0.142864,-0.150978,0.007571,-0.050146,-0.001098,0.007273,-0.145027
PR,-0.166533,-0.136688,-0.156536,-0.199921,-0.164025,-0.192044,-0.145361,-0.165763,0.010340,-0.062378,-0.000770,0.004645,-0.074468
GAMMA,-0.120171,-0.082229,-0.115096,-0.153846,-0.127213,-0.152041,-0.137010,-0.127906,0.010938,-0.085516,0.007735,-0.060474,0.707168
BS_50,-0.111241,-0.073215,-0.105195,-0.120017,-0.117846,-0.125435,-0.135947,-0.112943,0.008940,-0.079155,0.001702,-0.015070,0.190380
BV_50,-0.016946,-0.010162,-0.016128,-0.018387,-0.018997,-0.019462,-0.021821,-0.017493,0.001646,-0.094095,0.000547,-0.031270,0.332321
BS_V,-0.099440,-0.066220,-0.095704,-0.082965,-0.107983,-0.098735,-0.134835,-0.097740,0.009483,-0.097023,-0.001700,0.017393,-0.179268
GS,-0.018690,-0.011410,-0.017760,-0.020732,-0.020322,-0.021751,-0.023276,-0.019208,0.001727,-0.089910,0.000518,-0.026968,0.299942
MM,-0.033820,-0.025817,-0.031751,-0.036881,-0.032703,-0.038247,-0.038263,-0.033944,0.001985,-0.058479,0.000124,-0.003653,0.062469
LO,0.008067,0.013318,0.006445,0.019288,0.005324,0.012516,-0.008340,0.008092,0.003884,0.479980,-0.000025,-0.003089,-0.006437
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,12.519201,12.175510,13.094241,8.619507,13.391367,9.906605,59.214103,19.400222,7.999096,0.412320,-6.881021,-0.354688,-0.860225
r,4.206905,5.452547,4.201679,2.756023,3.780984,2.855272,4.344332,3.898473,0.412841,0.105898,0.308432,0.079116,0.747096
Sb,0.680990,0.648919,0.669479,0.726159,0.677262,0.713606,0.647858,0.680547,0.013386,0.019669,0.000443,0.000651,0.033094
Ra,0.840495,0.824459,0.834739,0.863079,0.838631,0.856803,0.823929,0.840273,0.006693,0.007965,0.000222,0.000264,0.033169
Rb,0.340495,0.324459,0.334739,0.363079,0.338631,0.356803,0.323929,0.340273,0.006693,0.019670,0.000222,0.000652,0.033169
Va,0.541169,0.523784,0.540833,0.542975,0.546685,0.546712,0.551537,0.542088,0.003955,0.007296,-0.000919,-0.001695,-0.232364
Vb,0.450764,0.462898,0.452722,0.437737,0.447991,0.440772,0.456803,0.449821,0.003913,0.008699,0.000943,0.002096,0.240992
L_Vf,0.490000,0.490000,0.490000,0.505000,0.490000,0.500000,0.480000,0.492500,0.003594,0.007297,-0.002500,-0.005076,-0.695604
L_Sf,0.549215,0.501252,0.543023,0.646010,0.560378,0.625435,0.513497,0.564933,0.024108,0.042674,-0.015718,-0.027823,-0.651983
U_Vf,0.535000,0.535000,0.535000,0.550000,0.535000,0.545000,0.525000,0.537500,0.003594,0.006687,-0.002500,-0.004651,-0.695604
U_Sf,0.748880,0.757632,0.745739,0.789701,0.743879,0.774637,0.721590,0.755530,0.009867,0.013060,-0.006650,-0.008802,-0.673964
