Vf,G2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000001
0.290,0.000001
0.295,0.000002
0.300,0.000004
0.305,0.000007
0.310,0.000012
0.315,0.000022
0.320,0.000038
0.325,0.000065
0.330,0.000110
0.335,0.000184
0.340,0.000302
0.345,0.000486
0.350,0.000771
0.355,0.001200
0.360,0.001839
0.365,0.002770
0.370,0.004105
0.375,0.005983
0.380,0.008578
0.385,0.012101
0.390,0.016796
0.395,0.022941
0.400,0.030843
0.405,0.040819
0.410,0.053191
0.415,0.068259
0.420,0.086282
0.425,0.107455
0.430,0.131885
0.435,0.159570
0.440,0.190385
0.445,0.224071
0.450,0.260243
0.455,0.298395
0.460,0.337924
0.465,0.378157
0.470,0.418389
0.475,0.457922
0.480,0.496100
0.485,0.532346
0.490,0.566190
0.495,0.597289
0.500,0.625435
0.505,0.650557
0.510,0.672707
0.515,0.692050
0.520,0.708837
0.525,0.723114
0.530,0.736332
0.535,0.749126
0.540,0.761804
0.545,0.774637
0.550,0.787835
0.555,0.801535
0.560,0.815792
0.565,0.830574
0.570,0.845774
0.575,0.861210
0.580,0.876653
0.585,0.891839
0.590,0.906498
0.595,0.920374
0.600,0.933245
0.605,0.944939
0.610,0.955341
0.615,0.964397
0.620,0.972115
0.625,0.978551
0.630,0.983802
0.635,0.987994
0.640,0.991269
0.645,0.993771
0.650,0.995642
0.655,0.997010
0.660,0.997989
0.665,0.998674
0.670,0.999143
0.675,0.999457
0.680,0.999663
0.685,0.999795
0.690,0.999878
0.695,0.999929
0.700,0.999959
0.705,0.999977
0.710,0.999988
0.715,0.999993
0.720,0.999996
0.725,0.999998
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
