Vf,P2020
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000001
0.300,0.000002
0.305,0.000003
0.310,0.000006
0.315,0.000010
0.320,0.000018
0.325,0.000032
0.330,0.000055
0.335,0.000093
0.340,0.000154
0.345,0.000252
0.350,0.000404
0.355,0.000639
0.360,0.000993
0.365,0.001518
0.370,0.002284
0.375,0.003384
0.380,0.004933
0.385,0.007078
0.390,0.009998
0.395,0.013905
0.400,0.019043
0.405,0.025683
0.410,0.034119
0.415,0.044651
0.420,0.057576
0.425,0.073169
0.430,0.091658
0.435,0.113210
0.440,0.137905
0.445,0.165724
0.450,0.196535
0.455,0.230088
0.460,0.266019
0.465,0.303861
0.470,0.343064
0.475,0.383025
0.480,0.423115
0.485,0.462716
0.490,0.501252
0.495,0.538220
0.500,0.573215
0.505,0.605939
0.510,0.636218
0.515,0.663481
0.520,0.688721
0.525,0.712724
0.530,0.735645
0.535,0.757632
0.540,0.778814
0.545,0.799279
0.550,0.819070
0.555,0.838181
0.560,0.856556
0.565,0.874104
0.570,0.890708
0.575,0.906241
0.580,0.920581
0.585,0.933627
0.590,0.945309
0.595,0.955595
0.600,0.964494
0.605,0.972054
0.610,0.978358
0.615,0.983515
0.620,0.987655
0.625,0.990912
0.630,0.993426
0.635,0.995328
0.640,0.996739
0.645,0.997765
0.650,0.998496
0.655,0.999006
0.660,0.999355
0.665,0.999590
0.670,0.999744
0.675,0.999843
0.680,0.999905
0.685,0.999944
0.690,0.999968
0.695,0.999982
0.700,0.999990
0.705,0.999994
0.710,0.999997
0.715,0.999998
0.720,0.999999
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
