METRIC,composite
Vf,0.514457
Sf,0.680990
EG,-0.152076
PR,-0.166533
GAMMA,-0.120171
BS_50,-0.111241
BV_50,-0.016946
BS_V,-0.099440
GS,-0.018690
MM,-0.033820
LO,0.008067
DECL,0.000000
R,12.519201
r,4.206905
Sb,0.680990
Ra,0.840495
Rb,0.340495
Va,0.541169
Vb,0.450764
L_Vf,0.490000
L_Sf,0.549215
U_Vf,0.535000
U_Sf,0.748880
