Vf,composite
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000001
0.295,0.000002
0.300,0.000003
0.305,0.000006
0.310,0.000011
0.315,0.000019
0.320,0.000033
0.325,0.000058
0.330,0.000098
0.335,0.000163
0.340,0.000268
0.345,0.000432
0.350,0.000685
0.355,0.001069
0.360,0.001641
0.365,0.002476
0.370,0.003676
0.375,0.005369
0.380,0.007715
0.385,0.010908
0.390,0.015177
0.395,0.020784
0.400,0.028018
0.405,0.037185
0.410,0.048598
0.415,0.062557
0.420,0.079327
0.425,0.099122
0.430,0.122077
0.435,0.148230
0.440,0.177503
0.445,0.209698
0.450,0.244491
0.455,0.281437
0.460,0.319994
0.465,0.359540
0.470,0.399409
0.475,0.438925
0.480,0.477442
0.485,0.514370
0.490,0.549215
0.495,0.581591
0.500,0.611241
0.505,0.638038
0.510,0.661976
0.515,0.683010
0.520,0.700874
0.525,0.717609
0.530,0.733513
0.535,0.748880
0.540,0.763987
0.545,0.779061
0.550,0.794273
0.555,0.809719
0.560,0.825416
0.565,0.841305
0.570,0.857256
0.575,0.873084
0.580,0.888569
0.585,0.903475
0.590,0.917573
0.595,0.930660
0.600,0.942573
0.605,0.953204
0.610,0.962498
0.615,0.970457
0.620,0.977131
0.625,0.982612
0.630,0.987017
0.635,0.990484
0.640,0.993154
0.645,0.995168
0.650,0.996654
0.655,0.997727
0.660,0.998486
0.665,0.999011
0.670,0.999367
0.675,0.999602
0.680,0.999755
0.685,0.999852
0.690,0.999913
0.695,0.999950
0.700,0.999971
0.705,0.999984
0.710,0.999991
0.715,0.999995
0.720,0.999998
0.725,0.999999
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
