METRIC,S2016
Vf,0.513237
Sf,0.677262
EG,-0.150788
PR,-0.164025
GAMMA,-0.127213
BS_50,-0.117846
BV_50,-0.018997
BS_V,-0.107983
GS,-0.020322
MM,-0.032703
LO,0.005324
DECL,0.000000
R,13.391367
r,3.780984
Sb,0.677262
Ra,0.838631
Rb,0.338631
Va,0.546685
Vb,0.447991
L_Vf,0.490000
L_Sf,0.560378
U_Vf,0.535000
U_Sf,0.743879
