METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.647764,Vf,0.617272,Vf,0.617723,Vf,0.669976,Vf,0.722129,Vf,0.622152,Vf,0.639397
Sf,0.847937,Sf,0.780599,Sf,0.712192,Sf,0.913687,Sf,0.994702,Sf,0.747908,Sf,0.826974
EG,-0.052409,EG,-0.046055,EG,0.023254,EG,-0.073735,EG,-0.050444,EG,-0.003604,EG,-0.048180
PR,-0.200173,PR,-0.163327,PR,-0.094469,PR,-0.243711,PR,-0.272573,PR,-0.125756,PR,-0.187577
GAMMA,-0.023774,GAMMA,0.030303,GAMMA,0.126048,GAMMA,-0.178738,GAMMA,-0.422380,GAMMA,0.119224,GAMMA,-0.043265
BS_50,0.036167,BS_50,0.020170,BS_50,0.047220,BS_50,0.033581,BS_50,0.010599,BS_50,0.037222,BS_50,0.048032
BV_50,0.018301,BV_50,0.008721,BV_50,0.029271,BV_50,0.015912,BV_50,0.003664,BV_50,0.022614,BV_50,0.027067
BS_V,0.025682,BS_V,0.006406,BS_V,0.006292,BS_V,0.029405,BS_V,0.002529,BS_V,-0.020432,BS_V,-0.004240
GS,0.015754,GS,0.009357,GS,0.015758,GS,0.014703,GS,0.008645,GS,0.017580,GS,0.019887
MM,0.045453,MM,0.018029,MM,0.049492,MM,0.050836,MM,0.039856,MM,0.041388,MM,0.059810
LO,0.176555,LO,0.146834,LO,0.165647,LO,0.209327,LO,0.000000,LO,0.160434,LO,0.161221
DECL,3.841440,DECL,5.184281,DECL,11.347290,DECL,18.538057,DECL,0.000000,DECL,3.640694,DECL,-3.849348
R,2.354680,R,2.392716,R,1.802471,R,2.433798,R,2.227094,R,2.029507,R,2.345633
r,2.193791,r,2.651113,r,2.873184,r,1.382248,r,0.325588,r,3.005541,r,2.035259
Sb,0.847937,Sb,0.780599,Sb,0.712192,Sb,0.913687,Sb,0.994702,Sb,0.747908,Sb,0.826974
Ra,0.923968,Ra,0.890299,Ra,0.856096,Ra,0.956844,Ra,0.997351,Ra,0.873954,Ra,0.913487
Rb,0.423968,Rb,0.390299,Rb,0.356096,Rb,0.456844,Rb,0.497351,Rb,0.373954,Rb,0.413487
Va,0.531113,Va,0.541066,Va,0.552933,Va,0.504989,Va,0.500000,Va,0.565662,Va,0.552317
Vb,0.292332,Vb,0.312101,Vb,0.281421,Vb,0.285684,Vb,0.257650,Vb,0.273904,Vb,0.286462
L_Vf,0.625000,L_Vf,0.595000,L_Vf,0.595000,L_Vf,0.645000,L_Vf,0.700000,L_Vf,0.600000,L_Vf,0.615000
L_Sf,0.803247,L_Sf,0.730496,L_Sf,0.658417,L_Sf,0.874219,L_Sf,0.987427,L_Sf,0.693813,L_Sf,0.771730
U_Vf,0.670000,U_Vf,0.640000,U_Vf,0.640000,U_Vf,0.690000,U_Vf,0.745000,U_Vf,0.645000,U_Vf,0.660000
U_Sf,0.904224,U_Sf,0.848994,U_Sf,0.791884,U_Sf,0.956843,U_Sf,0.999422,U_Sf,0.820663,U_Sf,0.874817
