CD,S2018
1,0.539020
2,0.551143
3,0.585619
4,0.615741
5,0.882546
6,0.754776
7,0.909195
8,0.855080
9,0.853076
10,0.902260
11,0.553964
12,0.866214
13,0.952508
14,0.872187
15,0.928121
16,0.750572
17,0.600124
18,0.589717
19,0.577259
20,0.620054
21,0.521767
22,0.578631
23,0.476248
24,0.468777
25,0.618227
26,0.657243
