METRIC,G2018
Vf,0.622152
Sf,0.747908
EG,-0.003604
PR,-0.125756
GAMMA,0.119224
BS_50,0.037222
BV_50,0.022614
BS_V,-0.020432
GS,0.017580
MM,0.041388
LO,0.160434
DECL,3.640694
R,2.029507
r,3.005541
Sb,0.747908
Ra,0.873954
Rb,0.373954
Va,0.565662
Vb,0.273904
L_Vf,0.600000
L_Sf,0.693813
U_Vf,0.645000
U_Sf,0.820663
