CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018
1,0.520580,0.501081,0.458763,0.539020,0.597754,0.517432,0.514731
2,0.530207,0.492410,0.465804,0.551143,0.625451,0.531154,0.528424
3,0.572843,0.541258,0.526556,0.585619,0.654993,0.573901,0.561851
4,0.605202,0.573470,0.562436,0.615741,0.681347,0.607534,0.596436
5,0.866632,0.814261,0.853409,0.882546,0.902541,0.881921,0.883471
6,0.729172,0.652863,0.709899,0.754776,0.795884,0.750465,0.750254
7,0.881573,0.815542,0.876568,0.909195,0.905078,0.904557,0.909089
8,0.834125,0.767532,0.810013,0.855080,0.885706,0.854779,0.857090
9,0.834490,0.759516,0.805096,0.853076,0.894113,0.857735,0.867586
10,0.888282,0.859796,0.887586,0.902260,0.894990,0.896277,0.896117
11,0.529158,0.461441,0.459423,0.553964,0.652868,0.540119,0.535292
12,0.859298,0.860467,0.867030,0.866214,0.851702,0.861752,0.847529
13,0.938324,0.888289,0.945874,0.952508,0.950719,0.953343,0.952943
14,0.850583,0.784938,0.841856,0.872187,0.889295,0.869370,0.872765
15,0.912683,0.852044,0.916994,0.928121,0.937721,0.929652,0.929408
16,0.738632,0.720639,0.722740,0.750572,0.767128,0.735787,0.738664
17,0.578204,0.550862,0.541972,0.600124,0.642544,0.555574,0.584235
18,0.551572,0.542465,0.504367,0.589717,0.622830,0.495639,0.554956
19,0.538463,0.523624,0.491213,0.577259,0.628840,0.475868,0.528600
20,0.591100,0.597835,0.563464,0.620054,0.683200,0.493721,0.568218
21,0.461306,0.436878,0.415843,0.521767,0.587660,0.360260,0.437416
22,0.553326,0.538095,0.510781,0.578631,0.675323,0.476576,0.527145
23,0.431233,0.412231,0.372426,0.476248,0.567120,0.371141,0.379910
24,0.429382,0.411991,0.385265,0.468777,0.560028,0.344531,0.391770
25,0.599421,0.600652,0.572998,0.618227,0.681052,0.539488,0.567158
26,0.629529,0.619088,0.582958,0.657243,0.741287,0.587628,0.574938
