CD,composite
1,0.520580
2,0.530207
3,0.572843
4,0.605202
5,0.866632
6,0.729172
7,0.881573
8,0.834125
9,0.834490
10,0.888282
11,0.529158
12,0.859298
13,0.938324
14,0.850583
15,0.912683
16,0.738632
17,0.578204
18,0.551572
19,0.538463
20,0.591100
21,0.461306
22,0.553326
23,0.431233
24,0.429382
25,0.599421
26,0.629529
