METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.647764,0.617272,0.617723,0.669976,0.722129,0.622152,0.639397,0.648108,0.016913,0.026096,-0.000344,-0.000531,-0.020339
Sf,0.847937,0.780599,0.712192,0.913687,0.994702,0.747908,0.826974,0.829344,0.043664,0.052649,0.018593,0.022419,0.425820
EG,-0.052409,-0.046055,0.023254,-0.073735,-0.050444,-0.003604,-0.048180,-0.033127,0.014598,-0.440668,-0.019282,0.582063,-1.320866
PR,-0.200173,-0.163327,-0.094469,-0.243711,-0.272573,-0.125756,-0.187577,-0.181235,0.027817,-0.153486,-0.018938,0.104494,-0.680807
GAMMA,-0.023774,0.030303,0.126048,-0.178738,-0.422380,0.119224,-0.043265,-0.061468,0.085747,-1.394986,0.037694,-0.613230,0.439596
BS_50,0.036167,0.020170,0.047220,0.033581,0.010599,0.037222,0.048032,0.032804,0.006090,0.185648,0.003363,0.102518,0.552217
BV_50,0.018301,0.008721,0.029271,0.015912,0.003664,0.022614,0.027067,0.017875,0.004189,0.234350,0.000426,0.023832,0.101695
BS_V,0.025682,0.006406,0.006292,0.029405,0.002529,-0.020432,-0.004240,0.003327,0.006635,1.994289,0.022355,6.719267,3.369254
GS,0.015754,0.009357,0.015758,0.014703,0.008645,0.017580,0.019887,0.014322,0.001832,0.127915,0.001432,0.099986,0.781659
MM,0.045453,0.018029,0.049492,0.050836,0.039856,0.041388,0.059810,0.043235,0.005836,0.134983,0.002218,0.051301,0.380055
LO,0.176555,0.146834,0.165647,0.209327,0.000000,0.160434,0.161221,0.140577,0.029426,0.209323,0.035978,0.255931,1.222660
DECL,3.841440,5.184281,11.347290,18.538057,0.000000,3.640694,-3.849348,5.810162,3.290499,0.566335,-1.968722,-0.338841,-0.598305
R,2.354680,2.392716,1.802471,2.433798,2.227094,2.029507,2.345633,2.205203,0.100113,0.045399,0.149477,0.067784,1.493083
r,2.193791,2.651113,2.873184,1.382248,0.325588,3.005541,2.035259,2.045489,0.423147,0.206868,0.148302,0.072502,0.350474
Sb,0.847937,0.780599,0.712192,0.913687,0.994702,0.747908,0.826974,0.829344,0.043664,0.052649,0.018593,0.022419,0.425820
Ra,0.923968,0.890299,0.856096,0.956844,0.997351,0.873954,0.913487,0.914672,0.021832,0.023869,0.009296,0.010163,0.425797
Rb,0.423968,0.390299,0.356096,0.456844,0.497351,0.373954,0.413487,0.414672,0.021832,0.052649,0.009296,0.022418,0.425797
Va,0.531113,0.541066,0.552933,0.504989,0.500000,0.565662,0.552317,0.536161,0.011130,0.020759,-0.005048,-0.009415,-0.453549
Vb,0.292332,0.312101,0.281421,0.285684,0.257650,0.273904,0.286462,0.282870,0.007289,0.025768,0.009462,0.033450,1.298120
L_Vf,0.625000,0.595000,0.595000,0.645000,0.700000,0.600000,0.615000,0.625000,0.016882,0.027011,0.000000,0.000000,0.000000
L_Sf,0.803247,0.730496,0.658417,0.874219,0.987427,0.693813,0.771730,0.786017,0.050470,0.064210,0.017230,0.021921,0.341391
U_Vf,0.670000,0.640000,0.640000,0.690000,0.745000,0.645000,0.660000,0.670000,0.016882,0.025197,0.000000,0.000000,0.000000
U_Sf,0.904224,0.848994,0.791884,0.956843,0.999422,0.820663,0.874817,0.882104,0.032870,0.037263,0.022120,0.025076,0.672954
