Vf,composite
0.250,0.000020
0.255,0.000039
0.260,0.000074
0.265,0.000137
0.270,0.000247
0.275,0.000432
0.280,0.000736
0.285,0.001218
0.290,0.001964
0.295,0.003084
0.300,0.004718
0.305,0.007037
0.310,0.010240
0.315,0.014545
0.320,0.020177
0.325,0.027357
0.330,0.036278
0.335,0.047084
0.340,0.059857
0.345,0.074591
0.350,0.091192
0.355,0.109467
0.360,0.129136
0.365,0.149844
0.370,0.171184
0.375,0.192723
0.380,0.214035
0.385,0.234726
0.390,0.254459
0.395,0.272975
0.400,0.290099
0.405,0.305745
0.410,0.319906
0.415,0.332647
0.420,0.344084
0.425,0.354366
0.430,0.363660
0.435,0.372137
0.440,0.379956
0.445,0.387264
0.450,0.394189
0.455,0.400843
0.460,0.407328
0.465,0.413735
0.470,0.420152
0.475,0.426667
0.480,0.433368
0.485,0.440347
0.490,0.447694
0.495,0.455495
0.500,0.463833
0.505,0.472778
0.510,0.482389
0.515,0.492707
0.520,0.503755
0.525,0.515539
0.530,0.528041
0.535,0.541229
0.540,0.555051
0.545,0.569440
0.550,0.584317
0.555,0.599595
0.560,0.615176
0.565,0.630961
0.570,0.646849
0.575,0.662738
0.580,0.678530
0.585,0.694130
0.590,0.709452
0.595,0.724413
0.600,0.738942
0.605,0.752976
0.610,0.766461
0.615,0.779355
0.620,0.791624
0.625,0.803247
0.630,0.814213
0.635,0.824522
0.640,0.834181
0.645,0.843208
0.650,0.854177
0.655,0.867555
0.660,0.880261
0.665,0.892444
0.670,0.904224
0.675,0.915664
0.680,0.926763
0.685,0.937449
0.690,0.947591
0.695,0.957029
0.700,0.965598
0.705,0.973163
0.710,0.979634
0.715,0.984991
0.720,0.989271
0.725,0.992571
0.730,0.995021
0.735,0.996774
0.740,0.997981
0.745,0.998779
0.750,0.999288
