METRIC,P2016
Vf,0.617723
Sf,0.712192
EG,0.023254
PR,-0.094469
GAMMA,0.126048
BS_50,0.047220
BV_50,0.029271
BS_V,0.006292
GS,0.015758
MM,0.049492
LO,0.165647
DECL,11.347290
R,1.802471
r,2.873184
Sb,0.712192
Ra,0.856096
Rb,0.356096
Va,0.552933
Vb,0.281421
L_Vf,0.595000
L_Sf,0.658417
U_Vf,0.640000
U_Sf,0.791884
