METRIC,S2016
Vf,0.722129
Sf,0.994702
EG,-0.050444
PR,-0.272573
GAMMA,-0.422380
BS_50,0.010599
BV_50,0.003664
BS_V,0.002529
GS,0.008645
MM,0.039856
LO,0.000000
DECL,0.000000
R,2.227094
r,0.325588
Sb,0.994702
Ra,0.997351
Rb,0.497351
Va,0.500000
Vb,0.257650
L_Vf,0.700000
L_Sf,0.987427
U_Vf,0.745000
U_Sf,0.999422
