METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018
Vf,0.647764,0.617272,0.617723,0.669976,0.722129,0.622152,0.639397
Sf,0.847937,0.780599,0.712192,0.913687,0.994702,0.747908,0.826974
EG,-0.052409,-0.046055,0.023254,-0.073735,-0.050444,-0.003604,-0.048180
PR,-0.200173,-0.163327,-0.094469,-0.243711,-0.272573,-0.125756,-0.187577
GAMMA,-0.023774,0.030303,0.126048,-0.178738,-0.422380,0.119224,-0.043265
BS_50,0.036167,0.020170,0.047220,0.033581,0.010599,0.037222,0.048032
BV_50,0.018301,0.008721,0.029271,0.015912,0.003664,0.022614,0.027067
BS_V,0.025682,0.006406,0.006292,0.029405,0.002529,-0.020432,-0.004240
GS,0.015754,0.009357,0.015758,0.014703,0.008645,0.017580,0.019887
MM,0.045453,0.018029,0.049492,0.050836,0.039856,0.041388,0.059810
LO,0.176555,0.146834,0.165647,0.209327,0.000000,0.160434,0.161221
DECL,3.841440,5.184281,11.347290,18.538057,0.000000,3.640694,-3.849348
R,2.354680,2.392716,1.802471,2.433798,2.227094,2.029507,2.345633
r,2.193791,2.651113,2.873184,1.382248,0.325588,3.005541,2.035259
Sb,0.847937,0.780599,0.712192,0.913687,0.994702,0.747908,0.826974
Ra,0.923968,0.890299,0.856096,0.956844,0.997351,0.873954,0.913487
Rb,0.423968,0.390299,0.356096,0.456844,0.497351,0.373954,0.413487
Va,0.531113,0.541066,0.552933,0.504989,0.500000,0.565662,0.552317
Vb,0.292332,0.312101,0.281421,0.285684,0.257650,0.273904,0.286462
L_Vf,0.625000,0.595000,0.595000,0.645000,0.700000,0.600000,0.615000
L_Sf,0.803247,0.730496,0.658417,0.874219,0.987427,0.693813,0.771730
U_Vf,0.670000,0.640000,0.640000,0.690000,0.745000,0.645000,0.660000
U_Sf,0.904224,0.848994,0.791884,0.956843,0.999422,0.820663,0.874817
