Vf,AG2018
0.250,0.000055
0.255,0.000106
0.260,0.000197
0.265,0.000354
0.270,0.000620
0.275,0.001054
0.280,0.001741
0.285,0.002795
0.290,0.004366
0.295,0.006636
0.300,0.009823
0.305,0.014167
0.310,0.019923
0.315,0.027335
0.320,0.036622
0.325,0.047945
0.330,0.061387
0.335,0.076936
0.340,0.094466
0.345,0.113744
0.350,0.134434
0.355,0.156116
0.360,0.178321
0.365,0.200559
0.370,0.222360
0.375,0.243302
0.380,0.263041
0.385,0.281330
0.390,0.298021
0.395,0.313066
0.400,0.326503
0.405,0.338437
0.410,0.349018
0.415,0.358417
0.420,0.366812
0.425,0.374366
0.430,0.381220
0.435,0.387493
0.440,0.393279
0.445,0.398653
0.450,0.403680
0.455,0.408419
0.460,0.412936
0.465,0.417301
0.470,0.421600
0.475,0.425927
0.480,0.430391
0.485,0.435107
0.490,0.440195
0.495,0.445777
0.500,0.451968
0.505,0.458875
0.510,0.466591
0.515,0.475191
0.520,0.484732
0.525,0.495247
0.530,0.506746
0.535,0.519214
0.540,0.532612
0.545,0.546878
0.550,0.561929
0.555,0.577662
0.560,0.593960
0.565,0.610692
0.570,0.627717
0.575,0.644893
0.580,0.662073
0.585,0.679117
0.590,0.695889
0.595,0.712263
0.600,0.728126
0.605,0.743378
0.610,0.757935
0.615,0.771730
0.620,0.784713
0.625,0.796849
0.630,0.808122
0.635,0.818529
0.640,0.828705
0.645,0.842194
0.650,0.854238
0.655,0.865031
0.660,0.874817
0.665,0.883869
0.670,0.892464
0.675,0.900856
0.680,0.909250
0.685,0.917783
0.690,0.926504
0.695,0.935375
0.700,0.944270
0.705,0.952999
0.710,0.961333
0.715,0.969044
0.720,0.975934
0.725,0.981867
0.730,0.986779
0.735,0.990688
0.740,0.993671
0.745,0.995854
0.750,0.997385
