CD,G2018
1,0.517432
2,0.531154
3,0.573901
4,0.607534
5,0.881921
6,0.750465
7,0.904557
8,0.854779
9,0.857735
10,0.896277
11,0.540119
12,0.861752
13,0.953343
14,0.869370
15,0.929652
16,0.735787
17,0.555574
18,0.495639
19,0.475868
20,0.493721
21,0.360260
22,0.476576
23,0.371141
24,0.344531
25,0.539488
26,0.587628
