CD,P2020
1,0.501081
2,0.492410
3,0.541258
4,0.573470
5,0.814261
6,0.652863
7,0.815542
8,0.767532
9,0.759516
10,0.859796
11,0.461441
12,0.860467
13,0.888289
14,0.784938
15,0.852044
16,0.720639
17,0.550862
18,0.542465
19,0.523624
20,0.597835
21,0.436878
22,0.538095
23,0.412231
24,0.411991
25,0.600652
26,0.619088
