METRIC,AG2018
Vf,0.639397
Sf,0.826974
EG,-0.048180
PR,-0.187577
GAMMA,-0.043265
BS_50,0.048032
BV_50,0.027067
BS_V,-0.004240
GS,0.019887
MM,0.059810
LO,0.161221
DECL,-3.849348
R,2.345633
r,2.035259
Sb,0.826974
Ra,0.913487
Rb,0.413487
Va,0.552317
Vb,0.286462
L_Vf,0.615000
L_Sf,0.771730
U_Vf,0.660000
U_Sf,0.874817
