CD,AG2018
1,0.514731
2,0.528424
3,0.561851
4,0.596436
5,0.883471
6,0.750254
7,0.909089
8,0.857090
9,0.867586
10,0.896117
11,0.535292
12,0.847529
13,0.952943
14,0.872765
15,0.929408
16,0.738664
17,0.584235
18,0.554956
19,0.528600
20,0.568218
21,0.437416
22,0.527145
23,0.379910
24,0.391770
25,0.567158
26,0.574938
