CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2018,CD,AG2018
1,0.520580,1,0.501081,1,0.458763,1,0.539020,1,0.597754,1,0.517432,1,0.514731
2,0.530207,2,0.492410,2,0.465804,2,0.551143,2,0.625451,2,0.531154,2,0.528424
3,0.572843,3,0.541258,3,0.526556,3,0.585619,3,0.654993,3,0.573901,3,0.561851
4,0.605202,4,0.573470,4,0.562436,4,0.615741,4,0.681347,4,0.607534,4,0.596436
5,0.866632,5,0.814261,5,0.853409,5,0.882546,5,0.902541,5,0.881921,5,0.883471
6,0.729172,6,0.652863,6,0.709899,6,0.754776,6,0.795884,6,0.750465,6,0.750254
7,0.881573,7,0.815542,7,0.876568,7,0.909195,7,0.905078,7,0.904557,7,0.909089
8,0.834125,8,0.767532,8,0.810013,8,0.855080,8,0.885706,8,0.854779,8,0.857090
9,0.834490,9,0.759516,9,0.805096,9,0.853076,9,0.894113,9,0.857735,9,0.867586
10,0.888282,10,0.859796,10,0.887586,10,0.902260,10,0.894990,10,0.896277,10,0.896117
11,0.529158,11,0.461441,11,0.459423,11,0.553964,11,0.652868,11,0.540119,11,0.535292
12,0.859298,12,0.860467,12,0.867030,12,0.866214,12,0.851702,12,0.861752,12,0.847529
13,0.938324,13,0.888289,13,0.945874,13,0.952508,13,0.950719,13,0.953343,13,0.952943
14,0.850583,14,0.784938,14,0.841856,14,0.872187,14,0.889295,14,0.869370,14,0.872765
15,0.912683,15,0.852044,15,0.916994,15,0.928121,15,0.937721,15,0.929652,15,0.929408
16,0.738632,16,0.720639,16,0.722740,16,0.750572,16,0.767128,16,0.735787,16,0.738664
17,0.578204,17,0.550862,17,0.541972,17,0.600124,17,0.642544,17,0.555574,17,0.584235
18,0.551572,18,0.542465,18,0.504367,18,0.589717,18,0.622830,18,0.495639,18,0.554956
19,0.538463,19,0.523624,19,0.491213,19,0.577259,19,0.628840,19,0.475868,19,0.528600
20,0.591100,20,0.597835,20,0.563464,20,0.620054,20,0.683200,20,0.493721,20,0.568218
21,0.461306,21,0.436878,21,0.415843,21,0.521767,21,0.587660,21,0.360260,21,0.437416
22,0.553326,22,0.538095,22,0.510781,22,0.578631,22,0.675323,22,0.476576,22,0.527145
23,0.431233,23,0.412231,23,0.372426,23,0.476248,23,0.567120,23,0.371141,23,0.379910
24,0.429382,24,0.411991,24,0.385265,24,0.468777,24,0.560028,24,0.344531,24,0.391770
25,0.599421,25,0.600652,25,0.572998,25,0.618227,25,0.681052,25,0.539488,25,0.567158
26,0.629529,26,0.619088,26,0.582958,26,0.657243,26,0.741287,26,0.587628,26,0.574938
