Vf,G2018
0.250,0.000133
0.255,0.000248
0.260,0.000448
0.265,0.000785
0.270,0.001334
0.275,0.002201
0.280,0.003525
0.285,0.005485
0.290,0.008298
0.295,0.012212
0.300,0.017495
0.305,0.024419
0.310,0.033233
0.315,0.044134
0.320,0.057247
0.325,0.072593
0.330,0.090075
0.335,0.109476
0.340,0.130459
0.345,0.152592
0.350,0.175376
0.355,0.198279
0.360,0.220784
0.365,0.242422
0.370,0.262805
0.375,0.281654
0.380,0.298800
0.385,0.314187
0.390,0.327859
0.395,0.339936
0.400,0.350587
0.405,0.360007
0.410,0.368391
0.415,0.375921
0.420,0.382748
0.425,0.388996
0.430,0.394759
0.435,0.400111
0.440,0.405111
0.445,0.409812
0.450,0.414271
0.455,0.418549
0.460,0.422719
0.465,0.426864
0.470,0.431072
0.475,0.435439
0.480,0.440060
0.485,0.445025
0.490,0.450420
0.495,0.456317
0.500,0.462778
0.505,0.469848
0.510,0.477558
0.515,0.485924
0.520,0.494947
0.525,0.504613
0.530,0.514899
0.535,0.525767
0.540,0.537173
0.545,0.549065
0.550,0.561385
0.555,0.574069
0.560,0.587054
0.565,0.600271
0.570,0.613654
0.575,0.627136
0.580,0.640651
0.585,0.654135
0.590,0.667529
0.595,0.680773
0.600,0.693813
0.605,0.706598
0.610,0.719081
0.615,0.731220
0.620,0.742976
0.625,0.758003
0.630,0.775164
0.635,0.791433
0.640,0.806640
0.645,0.820663
0.650,0.833454
0.655,0.845046
0.660,0.855565
0.665,0.865214
0.670,0.874266
0.675,0.883022
0.680,0.891775
0.685,0.900767
0.690,0.910145
0.695,0.919935
0.700,0.930035
0.705,0.940227
0.710,0.950216
0.715,0.959677
0.720,0.968309
0.725,0.975876
0.730,0.982244
0.735,0.987381
0.740,0.991351
0.745,0.994290
0.750,0.996371
