CD,P2016
1,0.458763
2,0.465804
3,0.526556
4,0.562436
5,0.853409
6,0.709899
7,0.876568
8,0.810013
9,0.805096
10,0.887586
11,0.459423
12,0.867030
13,0.945874
14,0.841856
15,0.916994
16,0.722740
17,0.541972
18,0.504367
19,0.491213
20,0.563464
21,0.415843
22,0.510781
23,0.372426
24,0.385265
25,0.572998
26,0.582958
