METRIC,S2016
Vf,0.579676
Sf,0.754396
S_V,12.824733
FPTP,14.000000
PR,10.000000
EG,-0.095044
PROP,-0.174720
BS_50,0.008906
BV_50,0.002627
GS,0.010596
BS_V,-0.005813
DECL,-11.190722
MM,0.022424
TO,-0.007111
MM',0.029535
LO,0.064306
R,3.192882
r,2.377005
Rd,3.742387
Sb,0.754396
Ra,0.877198
Rb,0.377198
Va,0.575227
Vb,0.360467
AVG_DVf,0.630616
AVG_RVf,0.382249
L_Vf,0.555000
L_Sf,0.686178
U_Vf,0.600000
U_Sf,0.799481
