Vf,S2016
0.250,0.000023
0.255,0.000044
0.260,0.000082
0.265,0.000148
0.270,0.000259
0.275,0.000439
0.280,0.000722
0.285,0.001154
0.290,0.001793
0.295,0.002709
0.300,0.003982
0.305,0.005701
0.310,0.007958
0.315,0.010841
0.320,0.014429
0.325,0.018788
0.330,0.023969
0.335,0.030007
0.340,0.036924
0.345,0.044734
0.350,0.053448
0.355,0.063077
0.360,0.073635
0.365,0.085131
0.370,0.097568
0.375,0.110932
0.380,0.125180
0.385,0.140239
0.390,0.155998
0.395,0.172315
0.400,0.189018
0.405,0.205923
0.410,0.222844
0.415,0.239610
0.420,0.256075
0.425,0.272133
0.430,0.287720
0.435,0.302814
0.440,0.317438
0.445,0.331650
0.450,0.345539
0.455,0.359213
0.460,0.372794
0.465,0.386406
0.470,0.400171
0.475,0.414203
0.480,0.428600
0.485,0.443442
0.490,0.458786
0.495,0.474668
0.500,0.491094
0.505,0.508046
0.510,0.525479
0.515,0.543321
0.520,0.561478
0.525,0.579835
0.530,0.598258
0.535,0.616603
0.540,0.634718
0.545,0.652450
0.550,0.669650
0.555,0.686178
0.560,0.701911
0.565,0.716743
0.570,0.730590
0.575,0.743395
0.580,0.755280
0.585,0.768191
0.590,0.779778
0.595,0.790152
0.600,0.799481
0.605,0.807984
0.610,0.815915
0.615,0.823547
0.620,0.831155
0.625,0.839002
0.630,0.847312
0.635,0.856259
0.640,0.865946
0.645,0.876394
0.650,0.887536
0.655,0.899215
0.660,0.911203
0.665,0.923212
0.670,0.934929
0.675,0.946043
0.680,0.956279
0.685,0.965425
0.690,0.973344
0.695,0.979985
0.700,0.985377
0.705,0.989614
0.710,0.992833
0.715,0.995198
0.720,0.996878
0.725,0.998032
0.730,0.998797
0.735,0.999287
0.740,0.999591
0.745,0.999773
0.750,0.999878
