CD,composite
1,0.733396
2,0.713458
3,0.713056
4,0.743171
5,0.668884
6,0.540768
7,0.863895
8,0.567110
9,0.695636
10,0.584924
11,0.544069
12,0.323121
13,0.561107
14,0.551358
15,0.319382
16,0.377229
17,0.537204
