CD,P2020
1,0.714837
2,0.702877
3,0.711362
4,0.736381
5,0.702520
6,0.555410
7,0.870004
8,0.578510
9,0.710295
10,0.631819
11,0.578146
12,0.282213
13,0.557413
14,0.558470
15,0.302205
16,0.389944
17,0.539878
