Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.250,0.000038,0.000037,0.000082,0.000026,0.000023,0.000022,0.000057
0.255,0.000072,0.000069,0.000151,0.000050,0.000044,0.000043,0.000106
0.260,0.000132,0.000126,0.000268,0.000093,0.000082,0.000080,0.000191
0.265,0.000233,0.000222,0.000460,0.000167,0.000148,0.000143,0.000332
0.270,0.000398,0.000381,0.000766,0.000289,0.000259,0.000250,0.000561
0.275,0.000662,0.000633,0.001234,0.000487,0.000439,0.000424,0.000918
0.280,0.001065,0.001019,0.001927,0.000797,0.000722,0.000698,0.001456
0.285,0.001665,0.001593,0.002919,0.001265,0.001154,0.001115,0.002240
0.290,0.002527,0.002418,0.004289,0.001952,0.001793,0.001732,0.003345
0.295,0.003727,0.003565,0.006121,0.002927,0.002709,0.002615,0.004854
0.300,0.005344,0.005109,0.008492,0.004271,0.003982,0.003842,0.006849
0.305,0.007459,0.007124,0.011467,0.006068,0.005701,0.005496,0.009406
0.310,0.010144,0.009673,0.015092,0.008401,0.007958,0.007666,0.012589
0.315,0.013459,0.012805,0.019390,0.011349,0.010841,0.010432,0.016444
0.320,0.017446,0.016552,0.024365,0.014978,0.014429,0.013871,0.020999
0.325,0.022130,0.020923,0.030007,0.019340,0.018788,0.018043,0.026264
0.330,0.027524,0.025914,0.036307,0.024470,0.023969,0.022997,0.032241
0.335,0.033631,0.031511,0.043268,0.030395,0.030007,0.028770,0.038934
0.340,0.040462,0.037711,0.050920,0.037136,0.036924,0.035389,0.046362
0.345,0.048042,0.044527,0.059330,0.044715,0.044734,0.042880,0.054565
0.350,0.056419,0.052006,0.068604,0.053169,0.053448,0.051273,0.063617
0.355,0.065671,0.060238,0.078881,0.062552,0.063077,0.060610,0.073616
0.360,0.075899,0.069350,0.090316,0.072938,0.073635,0.070936,0.084680
0.365,0.087218,0.079505,0.103058,0.084414,0.085131,0.082306,0.096928
0.370,0.099741,0.090882,0.117226,0.097072,0.097568,0.094765,0.110456
0.375,0.113557,0.103654,0.132883,0.110991,0.110932,0.108345,0.125320
0.380,0.128713,0.117964,0.150015,0.126223,0.125180,0.123042,0.141512
0.385,0.145193,0.133897,0.168522,0.142772,0.140239,0.138810,0.158950
0.390,0.162909,0.151461,0.188216,0.160583,0.155998,0.155551,0.177473
0.395,0.181698,0.170576,0.208826,0.179536,0.172315,0.173113,0.196847
0.400,0.201332,0.191069,0.230025,0.199445,0.189018,0.191299,0.216784
0.405,0.221529,0.212685,0.251447,0.220067,0.205923,0.209875,0.236958
0.410,0.241977,0.235103,0.272722,0.241120,0.222844,0.228591,0.257036
0.415,0.262358,0.257961,0.293499,0.262303,0.239610,0.247200,0.276703
0.420,0.282376,0.280889,0.313479,0.283321,0.256075,0.265474,0.295688
0.425,0.301776,0.303536,0.332431,0.303910,0.272133,0.283226,0.313781
0.430,0.320367,0.325600,0.350205,0.323856,0.287720,0.300316,0.330844
0.435,0.338028,0.346846,0.366738,0.343013,0.302814,0.316662,0.346823
0.440,0.354719,0.367126,0.382052,0.361312,0.317438,0.332237,0.361738
0.445,0.370474,0.386378,0.396242,0.378764,0.331650,0.347071,0.375682
0.450,0.385396,0.404627,0.409463,0.395451,0.345539,0.361238,0.388805
0.455,0.399642,0.421968,0.421914,0.411520,0.359213,0.374850,0.401303
0.460,0.413412,0.438555,0.433817,0.427160,0.372794,0.388047,0.413397
0.465,0.426924,0.454579,0.445403,0.442585,0.386406,0.400981,0.425323
0.470,0.440406,0.470246,0.456896,0.458014,0.400171,0.413814,0.437313
0.475,0.454072,0.485757,0.468500,0.473649,0.414203,0.426700,0.449580
0.480,0.468113,0.501294,0.480388,0.489661,0.428600,0.439785,0.462314
0.485,0.482682,0.517005,0.492702,0.506174,0.443442,0.453197,0.475664
